                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3225,                0.74191,                 0.2225,                0.91329,                 1.4557,                0.96187,                0.97222,                0.98801,                0.59607,                0.96187,                0.97222,                0.98801,                0.79612,                 1.2532,                0.39989,                0.03176,                0.89886,                 1.5366,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.3846,                0.77813,                0.25051,                0.87028,                 1.4807,                0.91957,                0.88889,                 0.9715,                0.56396,                0.94998,                0.91667,                0.98949,                0.79201,                 1.3397,                 0.4149,                0.03008,                 0.9259,                 1.6179,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.4736,                 0.9142,                0.24066,                0.93654,                 1.4905,                0.94478,                0.97222,                0.98217,                0.59561,                0.97305,                      1,                  0.995,                0.80678,                 1.2711,                 0.5004,                0.02626,                0.89616,                 1.6367,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.3949,                0.94567,                 0.2675,                 1.0117,                 1.5084,                0.93574,                0.94444,                0.97001,                0.55294,                0.99078,                      1,                  0.995,                0.77313,                 1.3091,                0.59677,                0.02351,                0.90594,                 1.6487,              0.0018515,              0.0018515,              0.0018515
                     48,                 1.3009,                0.78199,                0.20609,                0.98546,                  1.446,                0.99113,                      1,                  0.995,                0.59436,                0.99113,                      1,                  0.995,                0.82379,                 1.2523,                0.56355,                0.02424,                0.90077,                 1.5436,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.3781,                0.80297,                0.24407,                0.95556,                 1.5002,                0.96202,                0.97222,                0.98359,                0.57123,                0.98981,                      1,                  0.995,                0.81746,                 1.1858,                0.39275,                0.02765,                0.85765,                 1.5058,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.4107,                0.90785,                0.23705,                0.96951,                 1.4511,                0.98849,                      1,                  0.995,                 0.5895,                0.98849,                      1,                  0.995,                0.80669,                 1.3816,                0.42326,                0.02617,                0.91946,                 1.6447,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.3901,                0.78332,                0.19672,                 0.9752,                 1.4814,                0.91519,                0.97222,                0.97575,                0.58191,                0.94134,                      1,                  0.995,                0.81567,                 1.2657,                0.37346,                0.02943,                0.97871,                 1.6104,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.4019,                0.77155,                 0.2037,                0.94817,                 1.4701,                0.89694,                0.96714,                 0.9581,                0.53191,                0.92271,                0.99492,                0.99115,                0.77418,                 1.2815,                0.44142,                0.05445,                 1.2152,                 1.6219,               0.001835,               0.001835,               0.001835
                     53,                 1.4751,                0.94727,                 0.1839,                0.90879,                 1.4963,                0.69649,                0.89247,                 0.8336,                0.49579,                0.71778,                0.91847,                 0.8868,                0.69797,                 1.2694,                0.59087,                0.04853,                 1.2755,                 1.6003,              0.0018317,              0.0018317,              0.0018317
